"Date","Month","Year","Site.Name","COUNTY","mean.lat","PM2.5","Ozone"
2018-01-26,1,2018,"Frying Pan Mountain","Haywood",35.379167,8,NA
2018-01-26,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,46,34
2018-01-26,1,2018,"Hattie Avenue","Forsyth",36.110693332,57.6666666666667,NA
2018-01-26,1,2018,"Leggett","Edgecombe",35.988278,16,NA
2018-01-26,1,2018,"Linville Falls","Avery",35.972347,18,NA
2018-01-26,1,2018,"Mendenhall School","Guilford",36.1090060008986,56,NA
2018-01-26,1,2018,"Millbrook School","Wake",35.856111,47.5,28
2018-01-26,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,21,NA
2018-01-26,1,2018,"West Johnston Co.","Johnston",35.59095,35,NA
2018-01-27,1,2018,"Bryson City","Swain",35.434767,58,NA
2018-01-27,1,2018,"Castle Hayne","New Hanover",34.364167,3,NA
2018-01-27,1,2018,"Clemmons Middle","Forsyth",36.026,61,NA
2018-01-27,1,2018,"Durham Armory","Durham",36.0329550008979,42,NA
2018-01-27,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,49,31
2018-01-27,1,2018,"Hattie Avenue","Forsyth",36.110693332,76,NA
2018-01-27,1,2018,"Leggett","Edgecombe",35.988278,18,NA
2018-01-27,1,2018,"Mendenhall School","Guilford",36.1090060008986,55,NA
2018-01-27,1,2018,"Millbrook School","Wake",35.856111,37,37
2018-01-27,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,26,NA
2018-01-27,1,2018,"West Johnston Co.","Johnston",35.59095,27,NA
2018-01-28,1,2018,"Bryson City","Swain",35.434767,28,NA
2018-01-28,1,2018,"Castle Hayne","New Hanover",34.364167,0,NA
2018-01-28,1,2018,"Clemmons Middle","Forsyth",36.026,56,NA
2018-01-28,1,2018,"Durham Armory","Durham",36.0329550008979,25,NA
2018-01-28,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,43,29
2018-01-28,1,2018,"Hattie Avenue","Forsyth",36.110693332,46,NA
2018-01-28,1,2018,"Leggett","Edgecombe",35.988278,10,NA
2018-01-28,1,2018,"Mendenhall School","Guilford",36.1090060008986,46,NA
2018-01-28,1,2018,"Millbrook School","Wake",35.856111,22,30
2018-01-28,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,11,NA
2018-01-28,1,2018,"West Johnston Co.","Johnston",35.59095,18,NA
2018-01-29,1,2018,"Bryson City","Swain",35.434767,12,NA
2018-01-29,1,2018,"Castle Hayne","New Hanover",34.364167,0,NA
2018-01-29,1,2018,"Clemmons Middle","Forsyth",36.026,18,NA
2018-01-29,1,2018,"Durham Armory","Durham",36.0329550008979,12,NA
